model,config,fitted_on,threshold,tp,fn,fp,tn,sensitivity,specificity,miss_rate,false_referral_rate,ppv,npv,referral_rate,referrals_per_100,balanced_accuracy
vit,ensemble5,internal_val,0.77,806,5,0,298,0.9938347718865598,1.0,0.006165228113440197,0.0,1.0,0.9834983498349835,0.7267808836789901,72.67808836789901,0.9969173859432798
vit,ensemble5,internal_val,0.771,806,5,0,298,0.9938347718865598,1.0,0.006165228113440197,0.0,1.0,0.9834983498349835,0.7267808836789901,72.67808836789901,0.9969173859432798
vit,ensemble5,internal_val,0.772,806,5,0,298,0.9938347718865598,1.0,0.006165228113440197,0.0,1.0,0.9834983498349835,0.7267808836789901,72.67808836789901,0.9969173859432798
vit,ensemble5,internal_val,0.773,806,5,0,298,0.9938347718865598,1.0,0.006165228113440197,0.0,1.0,0.9834983498349835,0.7267808836789901,72.67808836789901,0.9969173859432798
vit,ensemble5,internal_val,0.774,806,5,0,298,0.9938347718865598,1.0,0.006165228113440197,0.0,1.0,0.9834983498349835,0.7267808836789901,72.67808836789901,0.9969173859432798
vit,ensemble5,internal_val,0.775,806,5,0,298,0.9938347718865598,1.0,0.006165228113440197,0.0,1.0,0.9834983498349835,0.7267808836789901,72.67808836789901,0.9969173859432798
vit,ensemble5,internal_val,0.776,806,5,0,298,0.9938347718865598,1.0,0.006165228113440197,0.0,1.0,0.9834983498349835,0.7267808836789901,72.67808836789901,0.9969173859432798
vit,ensemble5,internal_val,0.777,806,5,0,298,0.9938347718865598,1.0,0.006165228113440197,0.0,1.0,0.9834983498349835,0.7267808836789901,72.67808836789901,0.9969173859432798
vit,ensemble5,internal_val,0.778,806,5,0,298,0.9938347718865598,1.0,0.006165228113440197,0.0,1.0,0.9834983498349835,0.7267808836789901,72.67808836789901,0.9969173859432798
vit,ensemble5,internal_val,0.779,806,5,0,298,0.9938347718865598,1.0,0.006165228113440197,0.0,1.0,0.9834983498349835,0.7267808836789901,72.67808836789901,0.9969173859432798
vit,ensemble5,internal_val,0.78,806,5,0,298,0.9938347718865598,1.0,0.006165228113440197,0.0,1.0,0.9834983498349835,0.7267808836789901,72.67808836789901,0.9969173859432798
vit,ensemble5,internal_val,0.781,806,5,0,298,0.9938347718865598,1.0,0.006165228113440197,0.0,1.0,0.9834983498349835,0.7267808836789901,72.67808836789901,0.9969173859432798
vit,ensemble5,internal_val,0.782,806,5,0,298,0.9938347718865598,1.0,0.006165228113440197,0.0,1.0,0.9834983498349835,0.7267808836789901,72.67808836789901,0.9969173859432798
vit,ensemble5,internal_val,0.783,806,5,0,298,0.9938347718865598,1.0,0.006165228113440197,0.0,1.0,0.9834983498349835,0.7267808836789901,72.67808836789901,0.9969173859432798
vit,ensemble5,internal_val,0.784,806,5,0,298,0.9938347718865598,1.0,0.006165228113440197,0.0,1.0,0.9834983498349835,0.7267808836789901,72.67808836789901,0.9969173859432798
vit,ensemble5,internal_val,0.785,806,5,0,298,0.9938347718865598,1.0,0.006165228113440197,0.0,1.0,0.9834983498349835,0.7267808836789901,72.67808836789901,0.9969173859432798
vit,ensemble5,internal_val,0.786,806,5,0,298,0.9938347718865598,1.0,0.006165228113440197,0.0,1.0,0.9834983498349835,0.7267808836789901,72.67808836789901,0.9969173859432798
vit,ensemble5,internal_val,0.787,806,5,0,298,0.9938347718865598,1.0,0.006165228113440197,0.0,1.0,0.9834983498349835,0.7267808836789901,72.67808836789901,0.9969173859432798
vit,ensemble5,internal_val,0.788,806,5,0,298,0.9938347718865598,1.0,0.006165228113440197,0.0,1.0,0.9834983498349835,0.7267808836789901,72.67808836789901,0.9969173859432798
vit,ensemble5,internal_val,0.789,806,5,0,298,0.9938347718865598,1.0,0.006165228113440197,0.0,1.0,0.9834983498349835,0.7267808836789901,72.67808836789901,0.9969173859432798
vit,ensemble5,internal_val,0.79,806,5,0,298,0.9938347718865598,1.0,0.006165228113440197,0.0,1.0,0.9834983498349835,0.7267808836789901,72.67808836789901,0.9969173859432798
vit,ensemble5,internal_val,0.791,806,5,0,298,0.9938347718865598,1.0,0.006165228113440197,0.0,1.0,0.9834983498349835,0.7267808836789901,72.67808836789901,0.9969173859432798
vit,ensemble5,internal_val,0.792,806,5,0,298,0.9938347718865598,1.0,0.006165228113440197,0.0,1.0,0.9834983498349835,0.7267808836789901,72.67808836789901,0.9969173859432798
vit,ensemble5,internal_val,0.793,806,5,0,298,0.9938347718865598,1.0,0.006165228113440197,0.0,1.0,0.9834983498349835,0.7267808836789901,72.67808836789901,0.9969173859432798
vit,ensemble5,internal_val,0.794,806,5,0,298,0.9938347718865598,1.0,0.006165228113440197,0.0,1.0,0.9834983498349835,0.7267808836789901,72.67808836789901,0.9969173859432798
vit,ensemble5,internal_val,0.795,806,5,0,298,0.9938347718865598,1.0,0.006165228113440197,0.0,1.0,0.9834983498349835,0.7267808836789901,72.67808836789901,0.9969173859432798
vit,ensemble5,internal_val,0.796,806,5,0,298,0.9938347718865598,1.0,0.006165228113440197,0.0,1.0,0.9834983498349835,0.7267808836789901,72.67808836789901,0.9969173859432798
vit,ensemble5,internal_val,0.797,806,5,0,298,0.9938347718865598,1.0,0.006165228113440197,0.0,1.0,0.9834983498349835,0.7267808836789901,72.67808836789901,0.9969173859432798
vit,ensemble5,internal_val,0.798,806,5,0,298,0.9938347718865598,1.0,0.006165228113440197,0.0,1.0,0.9834983498349835,0.7267808836789901,72.67808836789901,0.9969173859432798
vit,ensemble5,internal_val,0.799,806,5,0,298,0.9938347718865598,1.0,0.006165228113440197,0.0,1.0,0.9834983498349835,0.7267808836789901,72.67808836789901,0.9969173859432798
vit,ensemble5,internal_val,0.8,806,5,0,298,0.9938347718865598,1.0,0.006165228113440197,0.0,1.0,0.9834983498349835,0.7267808836789901,72.67808836789901,0.9969173859432798
vit,ensemble5,internal_val,0.801,806,5,0,298,0.9938347718865598,1.0,0.006165228113440197,0.0,1.0,0.9834983498349835,0.7267808836789901,72.67808836789901,0.9969173859432798
vit,ensemble5,internal_val,0.802,806,5,0,298,0.9938347718865598,1.0,0.006165228113440197,0.0,1.0,0.9834983498349835,0.7267808836789901,72.67808836789901,0.9969173859432798
vit,ensemble5,internal_val,0.803,806,5,0,298,0.9938347718865598,1.0,0.006165228113440197,0.0,1.0,0.9834983498349835,0.7267808836789901,72.67808836789901,0.9969173859432798
vit,ensemble5,internal_val,0.804,806,5,0,298,0.9938347718865598,1.0,0.006165228113440197,0.0,1.0,0.9834983498349835,0.7267808836789901,72.67808836789901,0.9969173859432798
vit,ensemble5,internal_val,0.805,806,5,0,298,0.9938347718865598,1.0,0.006165228113440197,0.0,1.0,0.9834983498349835,0.7267808836789901,72.67808836789901,0.9969173859432798
vit,ensemble5,internal_val,0.806,806,5,0,298,0.9938347718865598,1.0,0.006165228113440197,0.0,1.0,0.9834983498349835,0.7267808836789901,72.67808836789901,0.9969173859432798
vit,ensemble5,internal_val,0.807,806,5,0,298,0.9938347718865598,1.0,0.006165228113440197,0.0,1.0,0.9834983498349835,0.7267808836789901,72.67808836789901,0.9969173859432798
vit,ensemble5,internal_val,0.808,806,5,0,298,0.9938347718865598,1.0,0.006165228113440197,0.0,1.0,0.9834983498349835,0.7267808836789901,72.67808836789901,0.9969173859432798
vit,ensemble5,internal_val,0.809,806,5,0,298,0.9938347718865598,1.0,0.006165228113440197,0.0,1.0,0.9834983498349835,0.7267808836789901,72.67808836789901,0.9969173859432798
vit,ensemble5,internal_val,0.81,806,5,0,298,0.9938347718865598,1.0,0.006165228113440197,0.0,1.0,0.9834983498349835,0.7267808836789901,72.67808836789901,0.9969173859432798
vit,ensemble5,internal_val,0.811,806,5,0,298,0.9938347718865598,1.0,0.006165228113440197,0.0,1.0,0.9834983498349835,0.7267808836789901,72.67808836789901,0.9969173859432798
vit,ensemble5,internal_val,0.812,806,5,0,298,0.9938347718865598,1.0,0.006165228113440197,0.0,1.0,0.9834983498349835,0.7267808836789901,72.67808836789901,0.9969173859432798
vit,ensemble5,internal_val,0.8130000000000001,806,5,0,298,0.9938347718865598,1.0,0.006165228113440197,0.0,1.0,0.9834983498349835,0.7267808836789901,72.67808836789901,0.9969173859432798
vit,ensemble5,internal_val,0.8140000000000001,806,5,0,298,0.9938347718865598,1.0,0.006165228113440197,0.0,1.0,0.9834983498349835,0.7267808836789901,72.67808836789901,0.9969173859432798
vit,ensemble5,internal_val,0.8150000000000001,806,5,0,298,0.9938347718865598,1.0,0.006165228113440197,0.0,1.0,0.9834983498349835,0.7267808836789901,72.67808836789901,0.9969173859432798
vit,ensemble5,internal_val,0.8160000000000001,805,6,0,298,0.9926017262638718,1.0,0.007398273736128237,0.0,1.0,0.9802631578947368,0.7258791704238052,72.58791704238052,0.9963008631319359
vit,ensemble5,internal_val,0.8170000000000001,805,6,0,298,0.9926017262638718,1.0,0.007398273736128237,0.0,1.0,0.9802631578947368,0.7258791704238052,72.58791704238052,0.9963008631319359
vit,ensemble5,internal_val,0.8180000000000001,805,6,0,298,0.9926017262638718,1.0,0.007398273736128237,0.0,1.0,0.9802631578947368,0.7258791704238052,72.58791704238052,0.9963008631319359
vit,ensemble5,internal_val,0.8190000000000001,805,6,0,298,0.9926017262638718,1.0,0.007398273736128237,0.0,1.0,0.9802631578947368,0.7258791704238052,72.58791704238052,0.9963008631319359
vit,ensemble5,internal_val,0.8200000000000001,805,6,0,298,0.9926017262638718,1.0,0.007398273736128237,0.0,1.0,0.9802631578947368,0.7258791704238052,72.58791704238052,0.9963008631319359
vit,ensemble5,internal_val,0.8210000000000001,805,6,0,298,0.9926017262638718,1.0,0.007398273736128237,0.0,1.0,0.9802631578947368,0.7258791704238052,72.58791704238052,0.9963008631319359
vit,ensemble5,internal_val,0.8220000000000001,805,6,0,298,0.9926017262638718,1.0,0.007398273736128237,0.0,1.0,0.9802631578947368,0.7258791704238052,72.58791704238052,0.9963008631319359
vit,ensemble5,internal_val,0.8230000000000001,805,6,0,298,0.9926017262638718,1.0,0.007398273736128237,0.0,1.0,0.9802631578947368,0.7258791704238052,72.58791704238052,0.9963008631319359
vit,ensemble5,internal_val,0.8240000000000001,805,6,0,298,0.9926017262638718,1.0,0.007398273736128237,0.0,1.0,0.9802631578947368,0.7258791704238052,72.58791704238052,0.9963008631319359
vit,ensemble5,internal_val,0.8250000000000001,805,6,0,298,0.9926017262638718,1.0,0.007398273736128237,0.0,1.0,0.9802631578947368,0.7258791704238052,72.58791704238052,0.9963008631319359
vit,ensemble5,internal_val,0.8260000000000001,805,6,0,298,0.9926017262638718,1.0,0.007398273736128237,0.0,1.0,0.9802631578947368,0.7258791704238052,72.58791704238052,0.9963008631319359
vit,ensemble5,internal_val,0.8270000000000001,805,6,0,298,0.9926017262638718,1.0,0.007398273736128237,0.0,1.0,0.9802631578947368,0.7258791704238052,72.58791704238052,0.9963008631319359
vit,ensemble5,internal_val,0.8280000000000001,805,6,0,298,0.9926017262638718,1.0,0.007398273736128237,0.0,1.0,0.9802631578947368,0.7258791704238052,72.58791704238052,0.9963008631319359
